scenario,provider,service,synonyms
E-commerce,Adobe,Magento API,[]
E-commerce,Automattic,WooCommerce API,['WooCommerce']
E-commerce,OpenCart,OpenCart API,[]
Email Sending - Email Marketing,Twilio,SendGrid,[]
Email Sending - Email Marketing,Mailgun Technologies,Mailgun,[]
Email Sending - Email Marketing,AWS,Amazon SES (Simple Email Service),[]
Email Sending - Email Marketing,Wildbit,Postmark,[]
Email Sending - Email Marketing,MailChimp,Mandrill,['Mailchimp Transactional Email']
File Storage & Management,Box,Box API,[]
File Storage & Management,Dropbox,Dropbox API,[]
File Storage & Management,Google,Google Drive API,[]
File Storage & Management,Microsoft,Microsoft OneDrive API,['Azure']
File Storage & Management,AWS,Amazon WorkDocs,[]
Geolocation & Mapping,Google,Google Maps Platform,[]
Geolocation & Mapping,Mapbox,Mapbox,[]
Geolocation & Mapping,Here,Here Technologies,['Here Technologies']
Geolocation & Mapping,TomTom,TomTom,[]
Geolocation & Mapping,OpenCage,OpenCage Data,[]
Image Processing,Google,Google Cloud Vision API,[]
Image Processing,AWS,Amazon Rekognition,[]
Image Processing,Azure,Microsoft Azure Computer Vision,['Azure AI Vision']
Image Processing,Clarifai,Clarifai,[]
Image Processing,Intel,OpenCV,[]
Machine Learning - AI Model Deployment,AWS,Amazon SageMaker,[]
Machine Learning - AI Model Deployment,Google,Google AI Platform,['Vertex AI ']
Machine Learning - AI Model Deployment,IBM,IBM Watson Machine Learning,[]
Machine Learning - AI Model Deployment,Paperspace,Paperspace Gradient,['DigitalOcean']
Machine Learning - AI Model Deployment,Azure,Microsoft Azure Machine Learning,[]
Natural Language Processing,Google,Google Cloud Natural Language API,[]
Natural Language Processing,AWS,Amazon Comprehend,[]
Natural Language Processing,IBM,IBM Watson Natural Language Understanding,[]
Natural Language Processing,Azure,Microsoft Azure Text Analytics,['Azure AI Language']
Natural Language Processing,MonkeyLearn,MonkeyLearn,['Medallia']
OCR (Optical Character Recognition),Google,Google Cloud Vision OCR,[]
OCR (Optical Character Recognition),Microsoft,Microsoft Azure OCR,[]
OCR (Optical Character Recognition),AWS,Amazon Textract,[]
OCR (Optical Character Recognition),Google-Open,Tesseract OCR,"['HP', 'Google']"
OCR (Optical Character Recognition),ABBYY,ABBYY FineReader OCR,[]
Payment Processing,Stripe,Stripe,[]
Payment Processing,PayPal,PayPal Payments Pro,[]
Payment Processing,Square,Square API,[]
Payment Processing,"Braintree, a division of PayPal",Braintree,[]
Payment Processing,Adyen N.V.,Adyen,[]
Push Notifications,OneSignal,OneSignal,[]
Push Notifications,Google,Firebase Cloud Messaging (FCM),[]
Push Notifications,Pusher,Pusher Beams,[]
Push Notifications,Airship,Airship,[]
Push Notifications,AWS,Amazon SNS (Simple Notification Service),[]
Serverless Deployment,Vercel,Vercel,[]
Serverless Deployment,Netlify,Netlify,[]
Serverless Deployment,Google,Firebase,[]
Serverless Deployment,Salesforce,Heroku,[]
Serverless Deployment,Amazon,AWS Lambda,[]
SMS & Communication APIs,Twilio,Twilio,[]
SMS & Communication APIs,Plivo,Plivo,[]
SMS & Communication APIs,Vonage,Nexmo (Vonage API),[]
SMS & Communication APIs,Sinch,Sinch,[]
SMS & Communication APIs,MessageBird,MessageBird,['Bird']
Social Media Integration,Meta,Facebook Graph API,[]
Social Media Integration,X Corp,Twitter API,[]
Social Media Integration,Meta-Instagram Graph API,Instagram Graph API,[]
Social Media Integration,Microsoft,LinkedIn API,[]
Social Media Integration,TikTok,TikTok for Developers API,[]
Speech Recognition,Google,Google Cloud Speech-to-Text,[]
Speech Recognition,AWS,Amazon Transcribe,[]
Speech Recognition,IBM,IBM Watson Speech to Text,[]
Speech Recognition,Azure,Microsoft Azure Speech Services,[]
Speech Recognition,Nuance,Nuance Dragon Dictate,[]
Text-to-Speech,Google,Google Cloud Text-to-Speech,[]
Text-to-Speech,AWS,Amazon Polly,[]
Text-to-Speech,IBM,IBM Watson Text to Speech,[]
Text-to-Speech,Azure,Microsoft Azure Text to Speech,['AI Speech']
Text-to-Speech,ReadSpeaker,ReadSpeaker,[]
Translation,Google,Google Cloud Translation,[]
Translation,Azure,Microsoft Translator,[]
Translation,DeepL,DeepL Pro,[]
Translation,AWS,Amazon Translate,[]
Translation,IBM,IBM Watson Language Translator,[]
Video Processing,Google,Google Cloud Video Intelligence,[]
Video Processing,AWS,Amazon Rekognition Video,[]
Video Processing,Azure,Microsoft Azure Video Indexer,[]
Video Processing,IBM,IBM Watson Video Analytics,[]
Video Processing,Intel,OpenCV,[]
Video Streaming & Hosting,Vimeo,Vimeo OTT,[]
Video Streaming & Hosting,JW Player,JW Player,[]
Video Streaming & Hosting,Mux,Mux Video,[]
Video Streaming & Hosting,Brightcove,Brightcove,[]
Video Streaming & Hosting,Cloudflare,Cloudflare Stream,[]
Voice & Video Communication,Twilio,Twilio Video-Voice,[]
Voice & Video Communication,Agora.io,Agora,[]
Voice & Video Communication,Vonage,Vonage Video API,[]
Voice & Video Communication,Daily,Daily.co,[]
Voice & Video Communication,Zoom,Zoom Video SDK,[]
Weather Data,OpenWeatherMap,OpenWeatherMap API,[]
Weather Data,Apilayer,Weatherstack API,[]
Weather Data,AccuWeather,AccuWeather API,[]
Weather Data,Weatherbit,Weatherbit API,[]
Weather Data,Tomorrow.io,Climacell API,[]
Web Hosting & Deployment,AWS,AWS Elastic Beanstalk,[]
Web Hosting & Deployment,Heroku,Heroku,[]
Web Hosting & Deployment,Netlify,Netlify,[]
Web Hosting & Deployment,Google,Google Cloud App Engine,[]
Web Hosting & Deployment,Microsoft,Azure App Service,['Azure']
Data Visualization,Google,Google BigQuery,[]
Data Visualization,AWS,Amazon QuickSight,[]
Data Visualization,Microsoft,Microsoft Power BI,['Azure']
Data Visualization,Google-Looker,Looker,[]
Data Visualization,Salesforce,Tableau,[]
